"Please correct Facebook Pixel ID: ""%1"".","Pixel ID: ""%1""."
"Custom Module","Ads Pixel"
"Info","Info"
"Facebook Pixel","Pixel"
"About","About"
"General","General"
"Enabled","Enabled"
"Enables or disables extension.","Enables or disables module."
"Facebook Pixel ID","Facebook Pixel ID"
"Pixel ID.","Facebook Pixel ID."
